key,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
SEHL,0.562440,0.538813,0.509343,0.489064,0.813156,0.758965,0.668927,0.647994,0.634987,0.591028,0.628765,0.625816,0.584000,0.548022,0.500990,0.481005,0.503010,0.478995,0.480005,0.451991,0.529037,0.492995,0.537005,0.534995,0.560989,0.575006,0.513995,0.490995,0.566006
SEHM,,0.643358,0.618847,0.586475,0.654762,0.629951,0.659901,0.646994,0.765985,0.763791,0.737103,0.739233,0.825000,0.796032,0.684986,0.675007,0.715014,0.709993,0.692007,0.674987,0.671047,0.665993,0.872009,0.891991,0.931981,1.067011,0.721993,0.836992,0.691007
SEHN,0.899286,0.880597,0.874020,0.884734,0.869653,0.838591,0.802311,0.781992,0.840983,0.861790,0.877841,0.937712,0.900000,0.889036,0.901982,0.890009,0.860017,0.846992,0.885009,0.860983,0.835058,0.844992,0.891009,0.921991,0.921982,0.966010,0.803992,0.805992,0.847008
SEHP,0.922979,0.912765,0.914205,0.938962,0.827280,0.826496,0.706033,0.706993,0.778984,0.800162,0.746216,0.790878,0.781000,0.772031,0.726985,0.730007,0.831017,0.847992,0.849008,0.855983,0.852060,0.892991,0.875009,0.898991,0.843983,0.872009,0.982990,1.029990,0.881009
SEAA,1.123850,1.074609,1.055857,0.998212,0.887813,0.856734,0.815348,0.780992,0.717986,0.705193,0.748241,0.736195,0.723000,0.708028,0.678986,0.675007,0.678014,0.652993,0.629006,0.595988,0.581041,0.561994,0.553006,0.531995,0.476990,0.476005,0.487995,0.525995,0.472005
SEAB,,0.290516,0.285312,0.263110,0.244149,0.216703,0.211609,0.195998,0.195996,0.187917,0.198451,0.198479,0.180000,0.175007,0.175996,0.183002,0.188004,0.180998,0.160002,0.153997,0.156011,0.173998,0.144001,0.133999,0.147997,0.169002,0.146999,0.127999,0.116001
SEAC,1.737796,1.659663,1.606389,1.525437,1.528450,1.460479,1.432125,1.363986,1.364973,1.366943,1.345618,1.298215,1.318000,1.271051,1.245975,1.238012,1.263025,1.209988,1.041010,1.023980,1.044073,1.015990,0.961010,0.874991,0.798984,0.840008,0.886991,0.859991,0.787008
SEAD,0.312123,0.289511,0.281294,0.269136,0.294592,0.292297,0.276797,0.273997,0.246995,0.239442,0.274389,0.262276,0.262000,0.249010,0.260995,0.257003,0.240005,0.228998,0.208002,0.204996,0.185013,0.173998,0.197002,0.199998,0.153997,0.167002,0.121999,0.106999,0.141001
SEAE,0.921949,0.880597,0.831826,0.804395,0.881759,0.859758,0.780247,0.764992,0.758985,0.756719,0.687491,0.696702,0.721000,0.700028,0.677986,0.696007,0.710014,0.724993,0.696007,0.690986,0.671047,0.657993,0.668007,0.643994,0.609988,0.506005,0.529995,0.577994,0.585006
SEAF,0.276070,0.273427,0.273257,0.255076,0.204802,0.194529,0.195563,0.187998,0.182996,0.178824,0.187313,0.185315,0.196000,0.192008,0.200996,0.200002,0.136003,0.134999,0.157002,0.149997,0.134009,0.137999,0.133001,0.124999,0.112998,0.102001,0.098999,0.101999,0.103001
SEAG,0.413074,0.389031,0.371710,0.355500,0.397498,0.372931,0.274791,0.273997,0.317994,0.328349,0.337164,0.360503,0.295000,0.307012,0.322994,0.315003,0.222004,0.210998,0.209002,0.214996,0.247017,0.236998,0.154002,0.152998,0.157997,0.219002,0.237998,0.179998,0.163002
SETA,8.136840,7.884155,7.687362,7.508687,8.690476,8.234725,7.934852,7.743923,7.857843,7.659123,7.280919,7.018663,6.386000,6.333253,5.650887,5.551056,5.815116,5.719943,6.604066,6.402872,7.080496,7.004930,7.277073,7.524925,9.217816,8.083081,6.419936,7.446926,7.204072
SETB,3.085180,2.506082,3.174603,3.496756,2.586764,3.143710,3.258384,3.968960,4.190916,4.391796,5.550549,3.204018,4.525000,5.079203,5.462891,5.462055,5.065101,3.978960,3.048030,3.256935,3.908274,3.761962,3.440034,2.874971,3.821924,3.275033,3.371966,2.982970,2.981030
