,gp,gp_q,pi_yoy,gw,gw_q,gp_core,grpe,grpf,slack,dmw,minwage,transfer_share,h,h_disc,cov_benchmark,lambda,wedge,scheme,populist,election,pistar,catchup,catchup_bb,real_wage,pigap,lvl_wage,lvl_price,lvl_minwage,lvl_benefit,lvl_handout,country
1973-01-01,7.863140139683633,6.762292041451978,7.863140139683633,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.529655976987166,,0.8655439464479882,,0.3334841626964673,,5.675178828099953,,100.0,100.0,ES
1973-04-01,10.328912124457812,13.957080981503367,10.328912124457812,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.089507206481295,,3.3395489699667724,,2.2394049179765165,,5.876696456403165,,100.0,100.0,ES
1973-07-01,11.713414319199856,16.86436184666693,11.713414319199856,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.814288629025008,,4.363458530259245,,2.8991256901748486,,6.129760515096581,,100.0,100.0,ES
1973-10-01,13.085812762507288,14.759516180406873,13.085812762507288,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,9.668593455721464,,5.639527826194239,,3.4172193067858245,,6.360165963820499,,100.0,100.0,ES
1974-01-01,13.693935312680017,9.194782242142896,13.693935312680017,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,10.473661827113174,,6.164279335692851,,3.2202734855668425,,6.508060122486302,,100.0,100.0,ES
1974-04-01,14.893144015472725,18.753915792674203,14.893144015472725,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,11.357558264785084,,6.803636808991429,,3.535585750687641,,6.820455217343532,,100.0,100.0,ES
1974-07-01,14.17831473007296,14.00504470506787,14.17831473007296,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,11.921709557842659,,5.364026101047953,,2.2566051722303015,,7.063486928525198,,100.0,100.0,ES
1974-10-01,15.407671368321886,19.67694273340257,15.407671368321886,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,12.618901919938505,,5.739077912600422,,2.7887694483833805,,7.419644801644225,,100.0,100.0,ES
1975-01-01,17.154804491292897,16.183314734026943,17.154804491292897,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,13.526082434209384,,6.681142664179722,,3.628722057083513,,7.725986156767177,,100.0,100.0,ES
1975-04-01,15.86693086423081,13.602421284425859,15.86693086423081,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,13.99425212021367,,4.509372599445726,,1.87267874401714,,7.993234734176346,,100.0,100.0,ES
